CopiedTimestamp,SourceFile,DestinationFile,FileSize,SourceFileSha1,DeferredCopy,CreatedOnUtc,ModifiedOnUtc,LastAccessedOnUtc,CopyDuration
2025-01-21 06:31:06.3910631,C:\Users\Default\NTUSER.DAT,D:\Target\C\Users\Default\NTUSER.DAT,262144,D9C0F231077A9B8FCEAFE234E4DBB83F7391E1D1,False,2021-06-05 12:01:25.1871455,2023-11-20 09:36:21.8926288,2024-11-20 08:35:53.7315445,00:00:00.0312498
2025-01-21 06:31:06.4848339,C:\Users\Default\NTUSER.DAT.LOG1,D:\Target\C\Users\Default\NTUSER.DAT.LOG1,65536,F7F7EF9CE52A7792215BD556D251B8CD4EEA58EE,False,2021-06-05 12:01:25.3277878,2021-06-05 12:01:25.3277878,2021-06-05 12:01:25.3277878,00:00:00
2025-01-21 06:31:06.5004403,C:\Users\Default\NTUSER.DAT.LOG2,D:\Target\C\Users\Default\NTUSER.DAT.LOG2,20480,6800CE7CEA7709CCEFC8C27223A2ABAB6094EB65,False,2021-06-05 12:01:25.3277878,2021-06-05 12:01:25.3277878,2022-08-25 17:33:10.1108741,00:00:00
2025-01-21 06:31:06.6566648,C:\Windows\System32\config\BCD-Template,D:\Target\C\Windows\System32\config\BCD-Template,28672,561BE4B3ED82494E10C15E68884B0F0AB542F4D8,False,2021-06-05 12:08:54.5312604,2022-08-25 18:32:16.6674216,2024-11-20 06:58:18.2990271,00:00:00
2025-01-21 06:31:06.6723443,C:\Windows\System32\config\BCD-Template.LOG,D:\Target\C\Windows\System32\config\BCD-Template.LOG,28672,A23B867FBC5B24C4820A23EA69D31D2A11045114,False,2022-08-25 18:32:14.6176817,2022-08-25 18:32:14.6176817,2024-11-20 06:58:18.3301725,00:00:00
2025-01-21 06:31:07.9691195,C:\Windows\System32\config\COMPONENTS,D:\Target\C\Windows\System32\config\COMPONENTS,33030144,9D05F5C0C1747A661CC7085C69EE98016815B79D,False,2021-06-05 12:01:25.1871455,2025-01-21 02:21:10.3806559,2025-01-21 02:21:10.3806559,00:00:01.1093465
2025-01-21 06:31:08.0628622,C:\Windows\System32\config\COMPONENTS.LOG1,D:\Target\C\Windows\System32\config\COMPONENTS.LOG1,315392,D06E6E2C2C76A93719E9918823D6CDAF2E9A394D,False,2021-06-05 12:01:25.2496647,2021-06-05 12:01:25.2496647,2024-11-20 06:58:18.9262074,00:00:00.0312468
2025-01-21 06:31:08.2503238,C:\Windows\System32\config\COMPONENTS.LOG2,D:\Target\C\Windows\System32\config\COMPONENTS.LOG2,1572864,27016985F3ACF847A03E2C7ECB70959087F42CFF,False,2021-06-05 12:01:25.2496647,2021-06-05 12:01:25.2496647,2024-11-20 06:58:19.0828346,00:00:00.0469061
2025-01-21 06:31:08.7504639,C:\Windows\System32\config\DRIVERS,D:\Target\C\Windows\System32\config\DRIVERS,11997184,1E7EEEB482FBB6968ADA2408B84F982EA4DC9DD9,False,2021-06-05 12:01:25.1871455,2025-01-21 06:15:15.6763698,2025-01-21 06:28:56.9297565,00:00:00.3439181
2025-01-21 06:31:08.7973348,C:\Windows\System32\config\DRIVERS.LOG1,D:\Target\C\Windows\System32\config\DRIVERS.LOG1,212992,5F542D32B7E17BB96CB5DF5BB05EF821657FEAF7,False,2021-06-05 12:01:25.2965545,2021-06-05 12:01:25.2965545,2023-11-20 11:54:25.9947574,00:00:00
2025-01-21 06:31:08.8910774,C:\Windows\System32\config\DRIVERS.LOG2,D:\Target\C\Windows\System32\config\DRIVERS.LOG2,1114112,D18A5B3275D8B7DB6B6642117B574CC85D1C6E3E,False,2021-06-05 12:01:25.2965545,2021-06-05 12:01:25.2965545,2024-11-20 06:58:19.3340193,00:00:00.0312801
2025-01-21 06:31:08.9691949,C:\Windows\System32\config\ELAM,D:\Target\C\Windows\System32\config\ELAM,32768,1B976F5580CDF8815A95C104E1CD472616985F09,False,2021-06-05 12:01:25.2027708,2024-11-20 07:14:27.9190019,2024-11-20 06:58:19.4593954,00:00:00.0155957
2025-01-21 06:31:09.0316591,C:\Windows\System32\config\ELAM.LOG1,D:\Target\C\Windows\System32\config\ELAM.LOG1,32768,B647886B515B090C67637321ED3057DEF15BBAB5,False,2021-06-05 12:01:25.4088701,2021-06-05 12:01:25.4088701,2024-11-20 06:58:19.4750187,00:00:00
2025-01-21 06:31:09.0316591,C:\Windows\System32\config\ELAM.LOG2,D:\Target\C\Windows\System32\config\ELAM.LOG2,0,DA39A3EE5E6B4B0D3255BFEF95601890AFD80709,False,2021-06-05 12:01:25.4088701,2021-06-05 12:01:25.4088701,2021-06-05 12:01:25.4088701,00:00:00
2025-01-21 06:31:09.0942087,C:\Windows\System32\config\SAM.LOG1,D:\Target\C\Windows\System32\config\SAM.LOG1,65536,08523E17C5B6814CAD2289D6020D55741D727C9B,True,2021-06-05 12:01:25.2341373,2021-06-05 12:01:25.2341373,2021-06-05 12:01:25.2341373,00:00:00
